goos: darwin
goarch: arm64
pkg: gonum.org/v1/gonum/lapack/gonum
cpu: Apple M1 Pro
BenchmarkDggesControl/mode=form/n=32         	     597	    196585 ns/op	       0 B/op	       0 allocs/op
BenchmarkDggesControl/mode=form/n=64         	     100	   1101584 ns/op	       0 B/op	       0 allocs/op
BenchmarkDggesControl/mode=form/n=128        	      14	   7770812 ns/op	       1 B/op	       0 allocs/op
BenchmarkDggesControl/mode=form/n=256        	       1	 117068416 ns/op	       0 B/op	       0 allocs/op
BenchmarkDggesControl/mode=vectors/n=32      	     405	    296628 ns/op	       0 B/op	       0 allocs/op
BenchmarkDggesControl/mode=vectors/n=64      	      67	   1742668 ns/op	       0 B/op	       0 allocs/op
BenchmarkDggesControl/mode=vectors/n=128     	       7	  15879560 ns/op	       0 B/op	       0 allocs/op
BenchmarkDggesControl/mode=vectors/n=256     	       1	 240394000 ns/op	       0 B/op	       0 allocs/op
BenchmarkDggesControl/mode=left/n=32         	     283	    416913 ns/op	   23552 B/op	      48 allocs/op
BenchmarkDggesControl/mode=left/n=64         	      46	   2483192 ns/op	  105984 B/op	     216 allocs/op
BenchmarkDggesControl/mode=left/n=128        	       5	  20566817 ns/op	  423936 B/op	     864 allocs/op
BenchmarkDggesControl/mode=left/n=256        	       1	 271666500 ns/op	 1507328 B/op	    3072 allocs/op
BenchmarkDggesControl/mode=unit/n=32         	     156	    766190 ns/op	   94208 B/op	     192 allocs/op
BenchmarkDggesControl/mode=unit/n=64         	      26	   4423287 ns/op	  376832 B/op	     768 allocs/op
BenchmarkDggesControl/mode=unit/n=128        	       4	  32412844 ns/op	 1507328 B/op	    3072 allocs/op
BenchmarkDggesControl/mode=unit/n=256        	       1	 349007375 ns/op	 6029312 B/op	   12288 allocs/op
BenchmarkDgghrdControl/mode=none/n=31/stride=31         	    3230	     36889 ns/op	       0 B/op	       0 allocs/op
BenchmarkDgghrdControl/mode=none/n=32/stride=32         	    2995	     39863 ns/op	       0 B/op	       0 allocs/op
BenchmarkDgghrdControl/mode=none/n=33/stride=33         	    2751	     43502 ns/op	       0 B/op	       0 allocs/op
BenchmarkDgghrdControl/mode=none/n=63/stride=63         	     453	    265571 ns/op	       0 B/op	       0 allocs/op
BenchmarkDgghrdControl/mode=none/n=64/stride=64         	     434	    275360 ns/op	       0 B/op	       0 allocs/op
BenchmarkDgghrdControl/mode=none/n=65/stride=65         	     416	    286628 ns/op	       0 B/op	       0 allocs/op
BenchmarkDgghrdControl/mode=none/n=128/stride=128       	      39	   2936386 ns/op	       0 B/op	       0 allocs/op
BenchmarkDgghrdControl/mode=none/n=256/stride=256       	       2	  65970084 ns/op	       0 B/op	       0 allocs/op
BenchmarkDgghrdControl/mode=none/n=256/stride=257       	       8	  13592438 ns/op	       0 B/op	       0 allocs/op
BenchmarkDgghrdControl/mode=none/n=256/stride=259       	       8	  13608542 ns/op	       0 B/op	       0 allocs/op
BenchmarkDgghrdControl/mode=q/n=31/stride=31            	    2432	     49005 ns/op	       0 B/op	       0 allocs/op
BenchmarkDgghrdControl/mode=q/n=32/stride=32            	    2233	     53498 ns/op	       0 B/op	       0 allocs/op
BenchmarkDgghrdControl/mode=q/n=33/stride=33            	    2059	     58263 ns/op	       0 B/op	       0 allocs/op
BenchmarkDgghrdControl/mode=q/n=63/stride=63            	     339	    352416 ns/op	       0 B/op	       0 allocs/op
BenchmarkDgghrdControl/mode=q/n=64/stride=64            	     324	    370128 ns/op	       0 B/op	       0 allocs/op
BenchmarkDgghrdControl/mode=q/n=65/stride=65            	     310	    385009 ns/op	       0 B/op	       0 allocs/op
BenchmarkDgghrdControl/mode=q/n=128/stride=128          	      25	   4585478 ns/op	       0 B/op	       0 allocs/op
BenchmarkDgghrdControl/mode=q/n=256/stride=256          	       1	 101326041 ns/op	       0 B/op	       0 allocs/op
BenchmarkDgghrdControl/mode=q/n=256/stride=257          	       6	  19470930 ns/op	       0 B/op	       0 allocs/op
BenchmarkDgghrdControl/mode=q/n=256/stride=259          	       6	  19455646 ns/op	       0 B/op	       0 allocs/op
BenchmarkDgghrdControl/mode=z/n=31/stride=31            	    2420	     49509 ns/op	       0 B/op	       0 allocs/op
BenchmarkDgghrdControl/mode=z/n=32/stride=32            	    2254	     53136 ns/op	       0 B/op	       0 allocs/op
BenchmarkDgghrdControl/mode=z/n=33/stride=33            	    2068	     57965 ns/op	       0 B/op	       0 allocs/op
BenchmarkDgghrdControl/mode=z/n=63/stride=63            	     342	    350067 ns/op	       0 B/op	       0 allocs/op
BenchmarkDgghrdControl/mode=z/n=64/stride=64            	     330	    363916 ns/op	       0 B/op	       0 allocs/op
BenchmarkDgghrdControl/mode=z/n=65/stride=65            	     315	    379636 ns/op	       0 B/op	       0 allocs/op
BenchmarkDgghrdControl/mode=z/n=128/stride=128          	      25	   4543322 ns/op	       0 B/op	       0 allocs/op
BenchmarkDgghrdControl/mode=z/n=256/stride=256          	       1	 103871917 ns/op	       0 B/op	       0 allocs/op
BenchmarkDgghrdControl/mode=z/n=256/stride=257          	       6	  19485979 ns/op	       0 B/op	       0 allocs/op
BenchmarkDgghrdControl/mode=z/n=256/stride=259          	       6	  19432778 ns/op	       0 B/op	       0 allocs/op
BenchmarkDgghrdControl/mode=both/n=31/stride=31         	    1932	     62413 ns/op	       0 B/op	       0 allocs/op
BenchmarkDgghrdControl/mode=both/n=32/stride=32         	    1771	     67229 ns/op	       0 B/op	       0 allocs/op
BenchmarkDgghrdControl/mode=both/n=33/stride=33         	    1647	     72694 ns/op	       0 B/op	       0 allocs/op
BenchmarkDgghrdControl/mode=both/n=63/stride=63         	     271	    442292 ns/op	       0 B/op	       0 allocs/op
BenchmarkDgghrdControl/mode=both/n=64/stride=64         	     258	    464340 ns/op	       0 B/op	       0 allocs/op
BenchmarkDgghrdControl/mode=both/n=65/stride=65         	     248	    480934 ns/op	       0 B/op	       0 allocs/op
BenchmarkDgghrdControl/mode=both/n=128/stride=128       	      19	   6166985 ns/op	       0 B/op	       0 allocs/op
BenchmarkDgghrdControl/mode=both/n=256/stride=256       	       1	 143518208 ns/op	       0 B/op	       0 allocs/op
BenchmarkDgghrdControl/mode=both/n=256/stride=257       	       4	  26276323 ns/op	       0 B/op	       0 allocs/op
BenchmarkDgghrdControl/mode=both/n=256/stride=259       	       4	  25902823 ns/op	       0 B/op	       0 allocs/op
PASS

goos: darwin
goarch: arm64
pkg: gonum.org/v1/gonum/lapack/gonum
cpu: Apple M1 Pro
BenchmarkDggesControl/mode=form/n=32         	     582	    196917 ns/op	       0 B/op	       0 allocs/op
BenchmarkDggesControl/mode=form/n=64         	     100	   1116098 ns/op	       0 B/op	       0 allocs/op
BenchmarkDggesControl/mode=form/n=128        	      14	   7826015 ns/op	       0 B/op	       0 allocs/op
BenchmarkDggesControl/mode=form/n=256        	       1	 116586833 ns/op	       0 B/op	       0 allocs/op
BenchmarkDggesControl/mode=vectors/n=32      	     404	    302232 ns/op	       0 B/op	       0 allocs/op
BenchmarkDggesControl/mode=vectors/n=64      	      66	   1757757 ns/op	       0 B/op	       0 allocs/op
BenchmarkDggesControl/mode=vectors/n=128     	       7	  16080393 ns/op	       0 B/op	       0 allocs/op
BenchmarkDggesControl/mode=vectors/n=256     	       1	 240904750 ns/op	       0 B/op	       0 allocs/op
BenchmarkDggesControl/mode=left/n=32         	     283	    425389 ns/op	   23552 B/op	      48 allocs/op
BenchmarkDggesControl/mode=left/n=64         	      45	   2524387 ns/op	  105984 B/op	     216 allocs/op
BenchmarkDggesControl/mode=left/n=128        	       5	  20780508 ns/op	  423936 B/op	     864 allocs/op
BenchmarkDggesControl/mode=left/n=256        	       1	 268002542 ns/op	 1507328 B/op	    3072 allocs/op
BenchmarkDggesControl/mode=unit/n=32         	     152	    792377 ns/op	   94208 B/op	     192 allocs/op
BenchmarkDggesControl/mode=unit/n=64         	      26	   4411189 ns/op	  376832 B/op	     768 allocs/op
BenchmarkDggesControl/mode=unit/n=128        	       4	  32651646 ns/op	 1507328 B/op	    3072 allocs/op
BenchmarkDggesControl/mode=unit/n=256        	       1	 348037000 ns/op	 6029312 B/op	   12288 allocs/op
BenchmarkDgghrdControl/mode=none/n=31/stride=31         	    3145	     37099 ns/op	       0 B/op	       0 allocs/op
BenchmarkDgghrdControl/mode=none/n=32/stride=32         	    2851	     40051 ns/op	       0 B/op	       0 allocs/op
BenchmarkDgghrdControl/mode=none/n=33/stride=33         	    2740	     43382 ns/op	       0 B/op	       0 allocs/op
BenchmarkDgghrdControl/mode=none/n=63/stride=63         	     452	    263994 ns/op	       0 B/op	       0 allocs/op
BenchmarkDgghrdControl/mode=none/n=64/stride=64         	     435	    274641 ns/op	       0 B/op	       0 allocs/op
BenchmarkDgghrdControl/mode=none/n=65/stride=65         	     417	    286918 ns/op	       0 B/op	       0 allocs/op
BenchmarkDgghrdControl/mode=none/n=128/stride=128       	      39	   2901616 ns/op	       0 B/op	       0 allocs/op
BenchmarkDgghrdControl/mode=none/n=256/stride=256       	       2	  66025750 ns/op	       0 B/op	       0 allocs/op
BenchmarkDgghrdControl/mode=none/n=256/stride=257       	       8	  13586474 ns/op	       0 B/op	       0 allocs/op
BenchmarkDgghrdControl/mode=none/n=256/stride=259       	       8	  13562979 ns/op	       0 B/op	       0 allocs/op
BenchmarkDgghrdControl/mode=q/n=31/stride=31            	    2438	     49090 ns/op	       0 B/op	       0 allocs/op
BenchmarkDgghrdControl/mode=q/n=32/stride=32            	    2228	     53554 ns/op	       0 B/op	       0 allocs/op
BenchmarkDgghrdControl/mode=q/n=33/stride=33            	    2060	     58240 ns/op	       0 B/op	       0 allocs/op
BenchmarkDgghrdControl/mode=q/n=63/stride=63            	     339	    351862 ns/op	       0 B/op	       0 allocs/op
BenchmarkDgghrdControl/mode=q/n=64/stride=64            	     326	    367901 ns/op	       0 B/op	       0 allocs/op
