goos: darwin
goarch: arm64
pkg: gonum.org/v1/gonum/lapack/gonum
cpu: Apple M1 Pro
BenchmarkDggesControl/mode=form/n=32         	     574	    196576 ns/op	       0 B/op	       0 allocs/op
BenchmarkDggesControl/mode=form/n=64         	     100	   1111784 ns/op	       0 B/op	       0 allocs/op
BenchmarkDggesControl/mode=form/n=128        	      14	   7754866 ns/op	       0 B/op	       0 allocs/op
BenchmarkDggesControl/mode=form/n=256        	       1	 118026750 ns/op	       0 B/op	       0 allocs/op
BenchmarkDggesControl/mode=vectors/n=32      	     420	    283814 ns/op	       0 B/op	       0 allocs/op
BenchmarkDggesControl/mode=vectors/n=64      	      70	   1670824 ns/op	       0 B/op	       0 allocs/op
BenchmarkDggesControl/mode=vectors/n=128     	       8	  13682943 ns/op	       0 B/op	       0 allocs/op
BenchmarkDggesControl/mode=vectors/n=256     	       1	 172332458 ns/op	       0 B/op	       0 allocs/op
BenchmarkDggesControl/mode=left/n=32         	     290	    410657 ns/op	   23552 B/op	      48 allocs/op
BenchmarkDggesControl/mode=left/n=64         	      49	   2446581 ns/op	  105984 B/op	     216 allocs/op
BenchmarkDggesControl/mode=left/n=128        	       6	  18425083 ns/op	  423936 B/op	     864 allocs/op
BenchmarkDggesControl/mode=left/n=256        	       1	 202266625 ns/op	 1507328 B/op	    3072 allocs/op
BenchmarkDggesControl/mode=unit/n=32         	     157	    767817 ns/op	   94208 B/op	     192 allocs/op
BenchmarkDggesControl/mode=unit/n=64         	      26	   4331127 ns/op	  376832 B/op	     768 allocs/op
BenchmarkDggesControl/mode=unit/n=128        	       4	  29860667 ns/op	 1507328 B/op	    3072 allocs/op
BenchmarkDggesControl/mode=unit/n=256        	       1	 281233292 ns/op	 6029312 B/op	   12288 allocs/op
BenchmarkDgghrdControl/mode=none/n=31/stride=31         	    3253	     37166 ns/op	       0 B/op	       0 allocs/op
BenchmarkDgghrdControl/mode=none/n=32/stride=32         	    3001	     39672 ns/op	       0 B/op	       0 allocs/op
BenchmarkDgghrdControl/mode=none/n=33/stride=33         	    2736	     43486 ns/op	       0 B/op	       0 allocs/op
BenchmarkDgghrdControl/mode=none/n=63/stride=63         	     450	    265956 ns/op	       0 B/op	       0 allocs/op
BenchmarkDgghrdControl/mode=none/n=64/stride=64         	     434	    275668 ns/op	       0 B/op	       0 allocs/op
BenchmarkDgghrdControl/mode=none/n=65/stride=65         	     416	    286296 ns/op	       0 B/op	       0 allocs/op
BenchmarkDgghrdControl/mode=none/n=128/stride=128       	      39	   2924089 ns/op	       0 B/op	       0 allocs/op
BenchmarkDgghrdControl/mode=none/n=256/stride=256       	       2	  65877375 ns/op	       0 B/op	       0 allocs/op
BenchmarkDgghrdControl/mode=none/n=256/stride=257       	       8	  13907479 ns/op	       0 B/op	       0 allocs/op
BenchmarkDgghrdControl/mode=none/n=256/stride=259       	       8	  13989453 ns/op	       0 B/op	       0 allocs/op
BenchmarkDgghrdControl/mode=q/n=31/stride=31            	    2380	     49298 ns/op	       0 B/op	       0 allocs/op
BenchmarkDgghrdControl/mode=q/n=32/stride=32            	    2566	     46615 ns/op	       0 B/op	       0 allocs/op
BenchmarkDgghrdControl/mode=q/n=33/stride=33            	    2329	     51239 ns/op	       0 B/op	       0 allocs/op
BenchmarkDgghrdControl/mode=q/n=63/stride=63            	     379	    316028 ns/op	       0 B/op	       0 allocs/op
BenchmarkDgghrdControl/mode=q/n=64/stride=64            	     368	    325258 ns/op	       0 B/op	       0 allocs/op
BenchmarkDgghrdControl/mode=q/n=65/stride=65            	     350	    341899 ns/op	       0 B/op	       0 allocs/op
BenchmarkDgghrdControl/mode=q/n=128/stride=128          	      34	   3366040 ns/op	       0 B/op	       0 allocs/op
BenchmarkDgghrdControl/mode=q/n=256/stride=256          	       2	  70243396 ns/op	       0 B/op	       0 allocs/op
BenchmarkDgghrdControl/mode=q/n=256/stride=257          	       6	  17186319 ns/op	       0 B/op	       0 allocs/op
BenchmarkDgghrdControl/mode=q/n=256/stride=259          	       6	  17577097 ns/op	       0 B/op	       0 allocs/op
BenchmarkDgghrdControl/mode=z/n=31/stride=31            	    2432	     49550 ns/op	       0 B/op	       0 allocs/op
BenchmarkDgghrdControl/mode=z/n=32/stride=32            	    2569	     46418 ns/op	       0 B/op	       0 allocs/op
BenchmarkDgghrdControl/mode=z/n=33/stride=33            	    2365	     50652 ns/op	       0 B/op	       0 allocs/op
BenchmarkDgghrdControl/mode=z/n=63/stride=63            	     384	    312447 ns/op	       0 B/op	       0 allocs/op
BenchmarkDgghrdControl/mode=z/n=64/stride=64            	     370	    322420 ns/op	       0 B/op	       0 allocs/op
BenchmarkDgghrdControl/mode=z/n=65/stride=65            	     352	    338983 ns/op	       0 B/op	       0 allocs/op
BenchmarkDgghrdControl/mode=z/n=128/stride=128          	      34	   3346684 ns/op	       0 B/op	       0 allocs/op
BenchmarkDgghrdControl/mode=z/n=256/stride=256          	       2	  70016396 ns/op	       0 B/op	       0 allocs/op
BenchmarkDgghrdControl/mode=z/n=256/stride=257          	       6	  17046021 ns/op	       0 B/op	       0 allocs/op
BenchmarkDgghrdControl/mode=z/n=256/stride=259          	       6	  17176271 ns/op	       0 B/op	       0 allocs/op
BenchmarkDgghrdControl/mode=both/n=31/stride=31         	    1928	     61910 ns/op	       0 B/op	       0 allocs/op
BenchmarkDgghrdControl/mode=both/n=32/stride=32         	    2271	     52552 ns/op	       0 B/op	       0 allocs/op
BenchmarkDgghrdControl/mode=both/n=33/stride=33         	    2065	     57968 ns/op	       0 B/op	       0 allocs/op
BenchmarkDgghrdControl/mode=both/n=63/stride=63         	     330	    362408 ns/op	       0 B/op	       0 allocs/op
BenchmarkDgghrdControl/mode=both/n=64/stride=64         	     320	    371784 ns/op	       0 B/op	       0 allocs/op
BenchmarkDgghrdControl/mode=both/n=65/stride=65         	     304	    393441 ns/op	       0 B/op	       0 allocs/op
BenchmarkDgghrdControl/mode=both/n=128/stride=128       	      31	   3776440 ns/op	       0 B/op	       0 allocs/op
BenchmarkDgghrdControl/mode=both/n=256/stride=256       	       2	  72925938 ns/op	       0 B/op	       0 allocs/op
BenchmarkDgghrdControl/mode=both/n=256/stride=257       	       5	  20466417 ns/op	       0 B/op	       0 allocs/op
BenchmarkDgghrdControl/mode=both/n=256/stride=259       	       5	  20619050 ns/op	       0 B/op	       0 allocs/op
PASS

goos: darwin
goarch: arm64
pkg: gonum.org/v1/gonum/lapack/gonum
cpu: Apple M1 Pro
BenchmarkDggesControl/mode=form/n=32         	     595	    196583 ns/op	       0 B/op	       0 allocs/op
BenchmarkDggesControl/mode=form/n=64         	     100	   1100439 ns/op	       0 B/op	       0 allocs/op
BenchmarkDggesControl/mode=form/n=128        	      15	   7716717 ns/op	       0 B/op	       0 allocs/op
